from_id,to_id
46756,13194
69320,1138
5090,4362
70441,45408
42728,29864
65353,48610
55911,39836
48362,18355
48124,26372
38218,31073
57547,42721
58029,34797
38301,11296
44832,23742
47810,14924
50007,23612
59937,42734
56221,36786
7988,7220
55947,40056
41265,32180
35984,18406
72508,47073
72370,1487
37667,10516
64170,49759
43551,12016
4805,4010
4787,3988
48621,12082
51526,31443
40254,22706
41365,22540
46068,25436
65486,46217
71197,36080
65764,48417
47691,30087
48586,10929
47506,27564
42395,24572
60132,35335
36290,14634
65725,38138
48191,10112
38329,25954
48352,29665
41164,23973
62255,45985
48092,13444
43433,24445
43743,27135
58177,34428
57563,36977
64380,43605
5374,5289
75985,1777
63872,48105
47768,30169
63481,38037
44500,32911
34283,13060
51556,31134
4577,3735
43095,27176
51303,18773
43016,32217
58330,46629
38624,12692
37379,11580
53519,24213
46437,29558
68599,46906
65732,48559
55804,49379
43466,29699
46606,15579
36374,11803
33989,16511
71869,6164
47469,11554
6599,64036
70698,38053
65117,49855
41818,16897
66528,1433
44362,13420
61044,36757
34963,10938
7941,7148
37136,30122
38174,27675
44695,12900
73344,34654
8010,7247
73041,36682
71236,46099
40609,30916
7404,6275
72321,34916
57938,44961
4601,3762
37926,29185
58499,36271
33377,26903
38891,32764
39843,19449
76086,35957
60371,36855
44422,28366
69786,45352
40775,21300
46342,29944
40501,18237
33676,31699
67274,37405
38784,32724
55461,41099
35205,20951
73454,33590
56773,35703
40680,17317
45789,20123
65974,47516
66416,45815
34582,32395
40799,20988
54919,45330
59923,44676
40133,11689
36105,29941
70223,49796
43255,12435
48044,18815
7981,7213
50882,31691
47879,12517
42720,21447
48858,30149
45696,22260
73306,33634
55609,48437
43052,14950
63537,41606
33716,16231
60640,34431
47362,21307
51566,22597
55772,52318
48887,27432
51412,12015
55020,47093
51596,29875
50714,11714
7608,6592
48082,23351
37877,28227
56557,33496
43004,11149
7366,6233
5838,54933
40190,18420
41001,27856
46523,21904
51141,25894
43061,27491
71908,43828
70206,36573
48261,14730
6229,14637
57490,47421
42100,28743
66931,41020
51761,46529
70178,49229
45836,29442
56626,49991
69386,46964
64740,38625
49577,28334
37055,12777
50285,27525
33770,29745
39517,12126
69326,42907
66092,44810
72004,3058
57075,37761
71231,41870
55015,46695
63295,38473
64408,46663
5013,4273
61957,36303
39036,22249
56186,49536
8220,8219
71096,38075
34793,32646
71306,49916
35846,15551
46784,29490
48909,18098
45125,17823
71162,3680
38306,31621
4668,3846
62524,36679
59247,41037
48398,10081
43704,24810
44217,31946
34800,17045
35181,10230
33461,31252
5955,20388
41480,32331
43602,12856
38418,22315
43495,29776
56718,38782
56972,37868
73597,64396
41794,12361
6357,27401
5085,4357
48879,11726
49945,26359
56197,53216
49920,23990
49614,31397
55055,44786
44411,13550
36069,19179
33881,26859
4798,4002
46374,27625
43085,33149
39436,27545
47725,24066
44897,29040
7356,6222
54177,49752
38042,29216
6882,27206
34937,27806
67089,49417
5095,4368
64961,39271
39312,14871
63039,45873
39133,30080
42884,23085
34866,27818
73731,43835
35501,16796
40304,23755
51652,48772
33481,23837
73324,36712
65040,37948
66948,48998
68911,49129
56224,45983
57693,34439
55019,43568
38719,10631
50412,21279
62876,42249
44039,29920
34212,27286
34584,22760
47138,29319
43102,32450
38633,15121
57775,50064
7666,6679
65807,48923
49324,17151
58908,40707
49988,28750
35630,23801
48326,31985
58538,35743
73158,40162
43984,29801
51564,10214
39253,21368
49259,25328
33886,10709
61439,47063
48291,28920
64465,45259
45023,27365
5804,15974
63855,44575
48935,11111
63812,43307
57770,44514
77617,43089
45631,15081
48746,29892
57495,37837
41917,26484
61559,45551
41498,11162
70331,39202
46738,16207
8069,7319
47989,28295
71531,41292
37028,19949
48547,10644
4928,4158
36058,23306
49982,19229
37492,12256
69058,45845
49737,32198
45048,27350
7991,7225
4184,21107
7091,32860
65382,49056
68850,2173
61450,38885
41239,28980
51926,37041
45568,30443
51361,26792
39714,32702
4901,4127
33668,17391
57023,37342
51582,15852
60363,48382
47126,12301
76058,46830
44755,32102
36351,11636
50039,20679
59940,44657
36242,18980
51594,27787
34695,31818
72264,1887
46944,32952
57469,36699
71867,51014
41008,13802
36300,15970
41858,17760
42214,17896
41179,29755
61299,35010
38309,20638
42786,14130
77232,36304
70718,49093
8037,7280
45602,17163
56517,41836
44296,28138
51523,13516
45309,18366
42718,23403
47622,14992
